Geography,National,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maine-1,Maine-2,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nebraska-1,Nebraska-2,Nebraska-3,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
National,1.0,0.755,0.779,0.923,0.752,0.75,0.837,0.839,0.872,0.336,0.867,0.888,0.692,0.773,0.954,0.814,0.793,0.871,0.746,0.764,0.716,0.716,0.716,0.789,0.759,0.839,0.849,0.694,0.847,0.74,0.862,0.716,0.716,0.716,0.866,0.735,0.799,0.764,0.76,0.896,0.774,0.84,0.803,0.916,0.897,0.871,0.818,0.766,0.836,0.855,0.737,0.767,0.836,0.868,0.626,0.841,0.762
Alabama,0.755,1.0,0.634,0.769,0.933,0.507,0.625,0.648,0.795,0.281,0.728,0.83,0.551,0.771,0.703,0.871,0.786,0.804,0.938,0.875,0.696,0.696,0.696,0.613,0.555,0.836,0.696,0.888,0.872,0.737,0.777,0.696,0.696,0.696,0.673,0.661,0.567,0.804,0.514,0.904,0.642,0.86,0.891,0.74,0.763,0.644,0.955,0.781,0.939,0.682,0.593,0.669,0.667,0.661,0.814,0.77,0.698
Alaska,0.779,0.634,1.0,0.757,0.667,0.68,0.796,0.693,0.718,0.367,0.66,0.73,0.703,0.727,0.752,0.692,0.682,0.729,0.643,0.697,0.649,0.649,0.649,0.706,0.628,0.662,0.745,0.627,0.7,0.742,0.751,0.649,0.649,0.649,0.765,0.668,0.697,0.686,0.6,0.7,0.734,0.674,0.747,0.782,0.706,0.704,0.665,0.714,0.685,0.761,0.749,0.64,0.78,0.818,0.604,0.701,0.765
Arizona,0.923,0.769,0.757,1.0,0.753,0.703,0.795,0.767,0.823,0.318,0.895,0.847,0.684,0.801,0.842,0.802,0.767,0.839,0.75,0.746,0.732,0.732,0.732,0.72,0.676,0.815,0.756,0.673,0.84,0.799,0.829,0.732,0.732,0.732,0.894,0.708,0.723,0.863,0.678,0.862,0.724,0.817,0.828,0.868,0.828,0.795,0.825,0.794,0.826,0.859,0.704,0.728,0.766,0.806,0.663,0.792,0.785
Arkansas,0.752,0.933,0.667,0.753,1.0,0.491,0.645,0.632,0.737,0.286,0.706,0.786,0.544,0.825,0.685,0.891,0.804,0.833,0.947,0.868,0.708,0.708,0.708,0.574,0.557,0.811,0.694,0.895,0.884,0.773,0.795,0.708,0.708,0.708,0.682,0.657,0.552,0.786,0.503,0.878,0.668,0.859,0.947,0.76,0.744,0.643,0.909,0.812,0.927,0.683,0.602,0.679,0.664,0.689,0.889,0.759,0.749
California,0.75,0.507,0.68,0.703,0.491,1.0,0.728,0.696,0.617,0.381,0.666,0.672,0.745,0.505,0.757,0.53,0.536,0.591,0.493,0.559,0.473,0.473,0.473,0.692,0.713,0.558,0.658,0.501,0.55,0.466,0.605,0.473,0.473,0.473,0.742,0.572,0.791,0.628,0.758,0.611,0.61,0.553,0.552,0.675,0.619,0.708,0.54,0.517,0.551,0.778,0.645,0.533,0.7,0.752,0.399,0.584,0.484
Colorado,0.837,0.625,0.796,0.795,0.645,0.728,1.0,0.814,0.75,0.357,0.711,0.744,0.659,0.702,0.826,0.698,0.703,0.796,0.644,0.633,0.64,0.64,0.64,0.829,0.782,0.69,0.837,0.584,0.728,0.686,0.801,0.64,0.64,0.64,0.758,0.784,0.803,0.686,0.696,0.746,0.742,0.7,0.715,0.881,0.754,0.768,0.665,0.69,0.69,0.735,0.781,0.696,0.884,0.952,0.576,0.725,0.72
Connecticut,0.839,0.648,0.693,0.767,0.632,0.696,0.814,1.0,0.817,0.356,0.741,0.687,0.654,0.621,0.848,0.671,0.69,0.74,0.635,0.635,0.647,0.647,0.647,0.86,0.92,0.747,0.829,0.588,0.716,0.65,0.733,0.647,0.647,0.647,0.7,0.858,0.888,0.664,0.759,0.74,0.678,0.727,0.648,0.805,0.82,0.888,0.69,0.636,0.687,0.647,0.715,0.753,0.854,0.84,0.565,0.743,0.628
Delaware,0.872,0.795,0.718,0.823,0.737,0.617,0.75,0.817,1.0,0.292,0.805,0.805,0.63,0.692,0.819,0.755,0.748,0.78,0.735,0.703,0.752,0.752,0.752,0.758,0.695,0.818,0.782,0.691,0.81,0.744,0.772,0.752,0.752,0.752,0.734,0.787,0.692,0.717,0.701,0.85,0.721,0.791,0.732,0.831,0.869,0.838,0.833,0.72,0.814,0.685,0.656,0.814,0.832,0.767,0.681,0.778,0.735
District of Columbia,0.336,0.281,0.367,0.318,0.286,0.381,0.357,0.356,0.292,1.0,0.293,0.374,0.351,0.26,0.363,0.28,0.262,0.287,0.263,0.363,0.21,0.21,0.21,0.419,0.4,0.297,0.301,0.32,0.26,0.247,0.292,0.21,0.21,0.21,0.349,0.254,0.375,0.316,0.421,0.31,0.303,0.274,0.319,0.303,0.284,0.35,0.283,0.272,0.284,0.375,0.321,0.236,0.344,0.336,0.229,0.269,0.273
Florida,0.867,0.728,0.66,0.895,0.706,0.666,0.711,0.741,0.805,0.293,1.0,0.794,0.697,0.7,0.783,0.73,0.68,0.739,0.686,0.699,0.728,0.728,0.728,0.719,0.663,0.756,0.665,0.622,0.776,0.735,0.716,0.728,0.728,0.728,0.83,0.663,0.718,0.771,0.692,0.829,0.678,0.756,0.75,0.777,0.788,0.739,0.808,0.691,0.779,0.793,0.621,0.717,0.739,0.724,0.652,0.716,0.681
Georgia,0.888,0.83,0.73,0.847,0.786,0.672,0.744,0.687,0.805,0.374,0.794,1.0,0.6,0.763,0.835,0.819,0.733,0.83,0.779,0.846,0.676,0.676,0.676,0.729,0.626,0.797,0.726,0.788,0.839,0.68,0.804,0.676,0.676,0.676,0.799,0.621,0.68,0.756,0.632,0.936,0.671,0.815,0.827,0.817,0.786,0.719,0.887,0.748,0.89,0.878,0.71,0.681,0.776,0.763,0.628,0.758,0.683
Hawaii,0.692,0.551,0.703,0.684,0.544,0.745,0.659,0.654,0.63,0.351,0.697,0.6,1.0,0.534,0.665,0.551,0.585,0.595,0.531,0.537,0.568,0.568,0.568,0.675,0.639,0.563,0.641,0.497,0.582,0.588,0.631,0.568,0.568,0.568,0.709,0.618,0.695,0.638,0.642,0.607,0.656,0.57,0.58,0.681,0.629,0.659,0.584,0.57,0.576,0.637,0.566,0.562,0.656,0.716,0.502,0.627,0.58
Idaho,0.773,0.771,0.727,0.801,0.825,0.505,0.702,0.621,0.692,0.26,0.7,0.763,0.534,1.0,0.706,0.848,0.799,0.854,0.819,0.782,0.802,0.802,0.802,0.568,0.542,0.774,0.73,0.723,0.852,0.864,0.824,0.802,0.802,0.802,0.715,0.703,0.55,0.752,0.494,0.815,0.724,0.795,0.903,0.788,0.736,0.655,0.804,0.836,0.84,0.728,0.735,0.747,0.652,0.722,0.76,0.745,0.882
Illinois,0.954,0.703,0.752,0.842,0.685,0.757,0.826,0.848,0.819,0.363,0.783,0.835,0.665,0.706,1.0,0.77,0.76,0.823,0.697,0.726,0.642,0.642,0.642,0.789,0.786,0.813,0.879,0.65,0.792,0.67,0.827,0.642,0.642,0.642,0.797,0.704,0.836,0.703,0.782,0.835,0.752,0.809,0.726,0.866,0.895,0.868,0.763,0.719,0.778,0.804,0.721,0.694,0.812,0.851,0.558,0.832,0.71
Indiana,0.814,0.871,0.692,0.802,0.891,0.53,0.698,0.671,0.755,0.28,0.73,0.819,0.551,0.848,0.77,1.0,0.914,0.929,0.916,0.799,0.757,0.757,0.757,0.614,0.589,0.944,0.793,0.789,0.954,0.829,0.887,0.757,0.757,0.757,0.726,0.684,0.582,0.743,0.541,0.9,0.73,0.955,0.905,0.818,0.843,0.692,0.893,0.866,0.929,0.729,0.672,0.736,0.677,0.718,0.79,0.885,0.816
Iowa,0.793,0.786,0.682,0.767,0.804,0.536,0.703,0.69,0.748,0.262,0.68,0.733,0.585,0.799,0.76,0.914,1.0,0.94,0.828,0.712,0.822,0.822,0.822,0.587,0.591,0.913,0.852,0.712,0.922,0.856,0.955,0.822,0.822,0.822,0.672,0.753,0.561,0.703,0.518,0.827,0.847,0.919,0.821,0.833,0.883,0.727,0.805,0.929,0.842,0.687,0.681,0.802,0.641,0.723,0.757,0.946,0.851
Kansas,0.871,0.804,0.729,0.839,0.833,0.591,0.796,0.74,0.78,0.287,0.739,0.83,0.595,0.854,0.823,0.929,0.94,1.0,0.844,0.749,0.805,0.805,0.805,0.66,0.651,0.907,0.85,0.715,0.957,0.855,0.97,0.805,0.805,0.805,0.731,0.76,0.639,0.74,0.591,0.903,0.812,0.932,0.884,0.895,0.887,0.763,0.841,0.898,0.889,0.764,0.736,0.8,0.732,0.813,0.73,0.901,0.851
Kentucky,0.746,0.938,0.643,0.75,0.947,0.493,0.644,0.635,0.735,0.263,0.686,0.779,0.531,0.819,0.697,0.916,0.828,0.844,1.0,0.833,0.719,0.719,0.719,0.558,0.563,0.847,0.719,0.846,0.895,0.78,0.804,0.719,0.719,0.719,0.674,0.682,0.544,0.766,0.479,0.88,0.668,0.886,0.905,0.773,0.771,0.653,0.905,0.806,0.947,0.673,0.626,0.706,0.631,0.679,0.873,0.796,0.752
Louisiana,0.764,0.875,0.697,0.746,0.868,0.559,0.633,0.635,0.703,0.363,0.699,0.846,0.537,0.782,0.726,0.799,0.712,0.749,0.833,1.0,0.639,0.639,0.639,0.654,0.584,0.751,0.664,0.917,0.794,0.698,0.745,0.639,0.639,0.639,0.701,0.575,0.607,0.834,0.551,0.839,0.669,0.773,0.884,0.689,0.717,0.646,0.869,0.755,0.849,0.759,0.607,0.626,0.656,0.645,0.779,0.706,0.693
Maine,0.716,0.696,0.649,0.732,0.708,0.473,0.64,0.647,0.752,0.21,0.728,0.676,0.568,0.802,0.642,0.757,0.822,0.805,0.719,0.639,1.0,1.0,1.0,0.522,0.533,0.797,0.695,0.601,0.829,0.879,0.794,1.0,1.0,1.0,0.608,0.832,0.496,0.68,0.461,0.768,0.751,0.784,0.745,0.772,0.81,0.681,0.757,0.814,0.762,0.631,0.695,0.926,0.629,0.659,0.776,0.78,0.824
Maine-1,0.716,0.696,0.649,0.732,0.708,0.473,0.64,0.647,0.752,0.21,0.728,0.676,0.568,0.802,0.642,0.757,0.822,0.805,0.719,0.639,1.0,1.0,1.0,0.522,0.533,0.797,0.695,0.601,0.829,0.879,0.794,1.0,1.0,1.0,0.608,0.832,0.496,0.68,0.461,0.768,0.751,0.784,0.745,0.772,0.81,0.681,0.757,0.814,0.762,0.631,0.695,0.926,0.629,0.659,0.776,0.78,0.824
Maine-2,0.716,0.696,0.649,0.732,0.708,0.473,0.64,0.647,0.752,0.21,0.728,0.676,0.568,0.802,0.642,0.757,0.822,0.805,0.719,0.639,1.0,1.0,1.0,0.522,0.533,0.797,0.695,0.601,0.829,0.879,0.794,1.0,1.0,1.0,0.608,0.832,0.496,0.68,0.461,0.768,0.751,0.784,0.745,0.772,0.81,0.681,0.757,0.814,0.762,0.631,0.695,0.926,0.629,0.659,0.776,0.78,0.824
Maryland,0.789,0.613,0.706,0.72,0.574,0.692,0.829,0.86,0.758,0.419,0.719,0.729,0.675,0.568,0.789,0.614,0.587,0.66,0.558,0.654,0.522,0.522,0.522,1.0,0.863,0.647,0.742,0.599,0.632,0.561,0.653,0.522,0.522,0.522,0.715,0.719,0.893,0.647,0.751,0.706,0.619,0.633,0.609,0.739,0.705,0.737,0.657,0.547,0.626,0.646,0.634,0.608,0.903,0.831,0.489,0.635,0.578
Massachusetts,0.759,0.555,0.628,0.676,0.557,0.713,0.782,0.92,0.695,0.4,0.663,0.626,0.639,0.542,0.786,0.589,0.591,0.651,0.563,0.584,0.533,0.533,0.533,0.863,1.0,0.644,0.731,0.518,0.623,0.548,0.647,0.533,0.533,0.533,0.653,0.736,0.897,0.58,0.771,0.652,0.62,0.641,0.578,0.734,0.728,0.846,0.597,0.556,0.605,0.587,0.613,0.648,0.808,0.81,0.486,0.647,0.544
Michigan,0.839,0.836,0.662,0.815,0.811,0.558,0.69,0.747,0.818,0.297,0.756,0.797,0.563,0.774,0.813,0.944,0.913,0.907,0.847,0.751,0.797,0.797,0.797,0.647,0.644,1.0,0.807,0.721,0.938,0.818,0.873,0.797,0.797,0.797,0.703,0.747,0.617,0.742,0.596,0.893,0.734,0.963,0.821,0.833,0.917,0.766,0.873,0.841,0.889,0.709,0.659,0.796,0.686,0.711,0.734,0.914,0.787
Minnesota,0.849,0.696,0.745,0.756,0.694,0.658,0.837,0.829,0.782,0.301,0.665,0.726,0.641,0.73,0.879,0.793,0.852,0.85,0.719,0.664,0.695,0.695,0.695,0.742,0.731,0.807,1.0,0.643,0.811,0.747,0.881,0.695,0.695,0.695,0.69,0.826,0.739,0.662,0.658,0.775,0.826,0.815,0.712,0.842,0.862,0.804,0.723,0.789,0.76,0.674,0.744,0.748,0.796,0.857,0.625,0.887,0.761
Mississippi,0.694,0.888,0.627,0.673,0.895,0.501,0.584,0.588,0.691,0.32,0.622,0.788,0.497,0.723,0.65,0.789,0.712,0.715,0.846,0.917,0.601,0.601,0.601,0.599,0.518,0.721,0.643,1.0,0.757,0.642,0.698,0.601,0.601,0.601,0.627,0.571,0.54,0.763,0.475,0.802,0.595,0.748,0.838,0.656,0.657,0.579,0.848,0.702,0.827,0.658,0.553,0.602,0.621,0.602,0.827,0.676,0.641
Missouri,0.847,0.872,0.7,0.84,0.884,0.55,0.728,0.716,0.81,0.26,0.776,0.839,0.582,0.852,0.792,0.954,0.922,0.957,0.895,0.794,0.829,0.829,0.829,0.632,0.623,0.938,0.811,0.757,1.0,0.883,0.922,0.829,0.829,0.829,0.727,0.751,0.61,0.769,0.565,0.933,0.779,0.975,0.905,0.863,0.905,0.739,0.919,0.912,0.946,0.74,0.679,0.805,0.717,0.761,0.798,0.893,0.84
Montana,0.74,0.737,0.742,0.799,0.773,0.466,0.686,0.65,0.744,0.247,0.735,0.68,0.588,0.864,0.67,0.829,0.856,0.855,0.78,0.698,0.879,0.879,0.879,0.561,0.548,0.818,0.747,0.642,0.883,1.0,0.842,0.879,0.879,0.879,0.688,0.753,0.531,0.727,0.492,0.789,0.783,0.841,0.827,0.81,0.807,0.688,0.791,0.892,0.806,0.643,0.661,0.833,0.659,0.71,0.796,0.816,0.927
Nebraska,0.862,0.777,0.751,0.829,0.795,0.605,0.801,0.733,0.772,0.292,0.716,0.804,0.631,0.824,0.827,0.887,0.955,0.97,0.804,0.745,0.794,0.794,0.794,0.653,0.647,0.873,0.881,0.698,0.922,0.842,1.0,0.794,0.794,0.794,0.735,0.753,0.637,0.74,0.582,0.859,0.88,0.896,0.852,0.883,0.886,0.772,0.803,0.93,0.853,0.766,0.733,0.779,0.716,0.812,0.712,0.934,0.857
Nebraska-1,0.716,0.696,0.649,0.732,0.708,0.473,0.64,0.647,0.752,0.21,0.728,0.676,0.568,0.802,0.642,0.757,0.822,0.805,0.719,0.639,1.0,1.0,1.0,0.522,0.533,0.797,0.695,0.601,0.829,0.879,0.794,1.0,1.0,1.0,0.608,0.832,0.496,0.68,0.461,0.768,0.751,0.784,0.745,0.772,0.81,0.681,0.757,0.814,0.762,0.631,0.695,0.926,0.629,0.659,0.776,0.78,0.824
Nebraska-2,0.716,0.696,0.649,0.732,0.708,0.473,0.64,0.647,0.752,0.21,0.728,0.676,0.568,0.802,0.642,0.757,0.822,0.805,0.719,0.639,1.0,1.0,1.0,0.522,0.533,0.797,0.695,0.601,0.829,0.879,0.794,1.0,1.0,1.0,0.608,0.832,0.496,0.68,0.461,0.768,0.751,0.784,0.745,0.772,0.81,0.681,0.757,0.814,0.762,0.631,0.695,0.926,0.629,0.659,0.776,0.78,0.824
Nebraska-3,0.716,0.696,0.649,0.732,0.708,0.473,0.64,0.647,0.752,0.21,0.728,0.676,0.568,0.802,0.642,0.757,0.822,0.805,0.719,0.639,1.0,1.0,1.0,0.522,0.533,0.797,0.695,0.601,0.829,0.879,0.794,1.0,1.0,1.0,0.608,0.832,0.496,0.68,0.461,0.768,0.751,0.784,0.745,0.772,0.81,0.681,0.757,0.814,0.762,0.631,0.695,0.926,0.629,0.659,0.776,0.78,0.824
Nevada,0.866,0.673,0.765,0.894,0.682,0.742,0.758,0.7,0.734,0.349,0.83,0.799,0.709,0.715,0.797,0.726,0.672,0.731,0.674,0.701,0.608,0.608,0.608,0.715,0.653,0.703,0.69,0.627,0.727,0.688,0.735,0.608,0.608,0.608,1.0,0.596,0.744,0.741,0.706,0.765,0.653,0.715,0.748,0.816,0.717,0.748,0.726,0.701,0.744,0.854,0.645,0.608,0.736,0.788,0.576,0.704,0.712
New Hampshire,0.735,0.661,0.668,0.708,0.657,0.572,0.784,0.858,0.787,0.254,0.663,0.621,0.618,0.703,0.704,0.684,0.753,0.76,0.682,0.575,0.832,0.832,0.832,0.719,0.736,0.747,0.826,0.571,0.751,0.753,0.753,0.832,0.832,0.832,0.596,1.0,0.684,0.65,0.579,0.719,0.723,0.736,0.656,0.807,0.801,0.791,0.694,0.704,0.698,0.557,0.753,0.879,0.783,0.806,0.673,0.759,0.714
New Jersey,0.799,0.567,0.697,0.723,0.552,0.791,0.803,0.888,0.692,0.375,0.718,0.68,0.695,0.55,0.836,0.582,0.561,0.639,0.544,0.607,0.496,0.496,0.496,0.893,0.897,0.617,0.739,0.54,0.61,0.531,0.637,0.496,0.496,0.496,0.744,0.684,1.0,0.616,0.82,0.666,0.585,0.62,0.593,0.743,0.705,0.764,0.608,0.532,0.605,0.683,0.657,0.574,0.826,0.838,0.462,0.631,0.532
New Mexico,0.764,0.804,0.686,0.863,0.786,0.628,0.686,0.664,0.717,0.316,0.771,0.756,0.638,0.752,0.703,0.743,0.703,0.74,0.766,0.834,0.68,0.68,0.68,0.647,0.58,0.742,0.662,0.763,0.769,0.727,0.74,0.68,0.68,0.68,0.741,0.65,0.616,1.0,0.563,0.789,0.661,0.738,0.832,0.715,0.727,0.657,0.807,0.739,0.778,0.781,0.602,0.643,0.664,0.684,0.74,0.707,0.704
New York,0.76,0.514,0.6,0.678,0.503,0.758,0.696,0.759,0.701,0.421,0.692,0.632,0.642,0.494,0.782,0.541,0.518,0.591,0.479,0.551,0.461,0.461,0.461,0.751,0.771,0.596,0.658,0.475,0.565,0.492,0.582,0.461,0.461,0.461,0.706,0.579,0.82,0.563,1.0,0.622,0.578,0.575,0.55,0.688,0.661,0.763,0.558,0.479,0.556,0.628,0.548,0.532,0.732,0.731,0.403,0.577,0.51
North Carolina,0.896,0.904,0.7,0.862,0.878,0.611,0.746,0.74,0.85,0.31,0.829,0.936,0.607,0.815,0.835,0.9,0.827,0.903,0.88,0.839,0.768,0.768,0.768,0.706,0.652,0.893,0.775,0.802,0.933,0.789,0.859,0.768,0.768,0.768,0.765,0.719,0.666,0.789,0.622,1.0,0.713,0.91,0.886,0.868,0.862,0.751,0.96,0.814,0.969,0.799,0.691,0.772,0.785,0.783,0.733,0.838,0.759
North Dakota,0.774,0.642,0.734,0.724,0.668,0.61,0.742,0.678,0.721,0.303,0.678,0.671,0.656,0.724,0.752,0.73,0.847,0.812,0.668,0.669,0.751,0.751,0.751,0.619,0.62,0.734,0.826,0.595,0.779,0.783,0.88,0.751,0.751,0.751,0.653,0.723,0.585,0.661,0.578,0.713,1.0,0.762,0.726,0.768,0.815,0.748,0.665,0.879,0.711,0.684,0.641,0.767,0.665,0.736,0.633,0.87,0.816
Ohio,0.84,0.86,0.674,0.817,0.859,0.553,0.7,0.727,0.791,0.274,0.756,0.815,0.57,0.795,0.809,0.955,0.919,0.932,0.886,0.773,0.784,0.784,0.784,0.633,0.641,0.963,0.815,0.748,0.975,0.841,0.896,0.784,0.784,0.784,0.715,0.736,0.62,0.738,0.575,0.91,0.762,1.0,0.862,0.852,0.917,0.756,0.895,0.879,0.922,0.719,0.652,0.783,0.686,0.732,0.765,0.916,0.8
Oklahoma,0.803,0.891,0.747,0.828,0.947,0.552,0.715,0.648,0.732,0.319,0.75,0.827,0.58,0.903,0.726,0.905,0.821,0.884,0.905,0.884,0.745,0.745,0.745,0.609,0.578,0.821,0.712,0.838,0.905,0.827,0.852,0.745,0.745,0.745,0.748,0.656,0.593,0.832,0.55,0.886,0.726,0.862,1.0,0.797,0.758,0.664,0.891,0.86,0.913,0.776,0.665,0.693,0.691,0.743,0.839,0.763,0.81
