Geography,National,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maine-1,Maine-2,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nebraska-1,Nebraska-2,Nebraska-3,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
National,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,0.062,0.45,0.004,0.021,0.005,0.006,0.009,0.005,0.004,0.0,0.021,0.028,0.004,0.008,0.0,0.007,0.013,0.007,0.013,0.01,0.013,0.009,0.013,0.003,0.005,0.024,0.016,0.007,0.009,0.008,0.0,0.005,0.006,0.0,0.005,0.006,0.005,0.005,0.004,0.026,0.004,0.017,0.007,0.008,0.029,0.0,0.012,0.0,0.006,0.013,0.006,0.014,0.008,0.005,0.003,0.025,0.0
Alaska,0.078,0.006,0.363,0.026,0.005,0.011,0.014,0.006,0.005,0.0,0.023,0.03,0.006,0.009,0.0,0.006,0.014,0.007,0.011,0.01,0.015,0.01,0.015,0.005,0.007,0.023,0.021,0.006,0.009,0.01,0.0,0.006,0.006,0.0,0.007,0.008,0.008,0.005,0.006,0.024,0.005,0.016,0.007,0.011,0.033,0.0,0.01,0.0,0.005,0.017,0.009,0.016,0.012,0.008,0.003,0.028,0.0
Arizona,0.009,0.001,0.001,0.928,0.001,0.001,0.001,0.001,0.001,0.0,0.003,0.004,0.001,0.001,0.0,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.0,0.001,0.003,0.002,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.002,0.001,0.001,0.004,0.0,0.001,0.0,0.001,0.002,0.001,0.002,0.001,0.001,0.0,0.003,0.0
Arkansas,0.073,0.008,0.004,0.025,0.35,0.007,0.011,0.005,0.005,0.0,0.024,0.032,0.005,0.01,0.0,0.008,0.016,0.008,0.015,0.012,0.015,0.011,0.016,0.004,0.006,0.027,0.019,0.008,0.011,0.01,0.0,0.006,0.007,0.0,0.006,0.007,0.006,0.006,0.005,0.029,0.005,0.02,0.009,0.01,0.034,0.0,0.013,0.0,0.007,0.015,0.007,0.017,0.01,0.007,0.004,0.029,0.0
California,0.037,0.002,0.002,0.012,0.002,0.731,0.006,0.003,0.002,0.0,0.011,0.014,0.003,0.003,0.0,0.002,0.005,0.003,0.004,0.004,0.005,0.004,0.005,0.002,0.004,0.009,0.009,0.002,0.003,0.003,0.0,0.002,0.002,0.0,0.003,0.003,0.004,0.002,0.004,0.01,0.002,0.006,0.003,0.004,0.014,0.0,0.004,0.0,0.002,0.009,0.004,0.007,0.005,0.004,0.001,0.011,0.0
Colorado,0.034,0.002,0.002,0.011,0.002,0.005,0.732,0.003,0.002,0.0,0.01,0.013,0.002,0.004,0.0,0.003,0.006,0.003,0.004,0.004,0.006,0.004,0.006,0.002,0.004,0.01,0.009,0.002,0.004,0.004,0.0,0.002,0.003,0.0,0.003,0.004,0.004,0.002,0.003,0.011,0.002,0.007,0.003,0.005,0.014,0.0,0.004,0.0,0.002,0.007,0.004,0.007,0.005,0.004,0.001,0.012,0.0
Connecticut,0.071,0.005,0.004,0.022,0.004,0.009,0.012,0.437,0.004,0.0,0.022,0.024,0.005,0.007,0.0,0.005,0.012,0.006,0.009,0.007,0.012,0.009,0.013,0.005,0.009,0.022,0.02,0.005,0.007,0.008,0.0,0.005,0.005,0.0,0.006,0.008,0.008,0.004,0.007,0.022,0.004,0.015,0.005,0.009,0.033,0.0,0.009,0.0,0.004,0.013,0.007,0.016,0.011,0.007,0.002,0.025,0.0
Delaware,0.084,0.007,0.005,0.027,0.005,0.009,0.012,0.007,0.322,0.0,0.027,0.032,0.005,0.008,0.0,0.007,0.015,0.007,0.012,0.009,0.016,0.011,0.017,0.005,0.007,0.027,0.021,0.006,0.01,0.01,0.0,0.006,0.007,0.0,0.007,0.009,0.007,0.005,0.007,0.028,0.005,0.018,0.007,0.011,0.039,0.0,0.012,0.0,0.006,0.015,0.008,0.02,0.012,0.007,0.003,0.03,0.0
District of Columbia,0.123,0.009,0.009,0.039,0.007,0.022,0.022,0.011,0.007,0.0,0.037,0.057,0.011,0.012,0.0,0.009,0.019,0.01,0.016,0.018,0.017,0.012,0.017,0.01,0.016,0.037,0.03,0.011,0.012,0.013,0.0,0.007,0.008,0.0,0.012,0.011,0.015,0.009,0.016,0.039,0.008,0.024,0.011,0.015,0.048,0.0,0.015,0.0,0.008,0.031,0.014,0.022,0.019,0.012,0.004,0.039,0.0
