Geography,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
United States,1.0,0.759,0.776,0.924,0.758,0.748,0.837,0.838,0.868,0.327,0.862,0.887,0.69,0.77,0.954,0.818,0.795,0.872,0.749,0.767,0.703,0.794,0.763,0.837,0.851,0.701,0.848,0.735,0.863,0.869,0.724,0.801,0.765,0.762,0.899,0.772,0.84,0.807,0.912,0.891,0.868,0.82,0.767,0.84,0.848,0.729,0.754,0.84,0.869,0.621,0.841,0.76
Alabama,0.759,1.0,0.629,0.772,0.935,0.505,0.623,0.651,0.796,0.271,0.726,0.827,0.55,0.766,0.706,0.872,0.788,0.804,0.936,0.874,0.686,0.618,0.561,0.838,0.698,0.89,0.874,0.736,0.777,0.675,0.653,0.571,0.805,0.52,0.905,0.64,0.862,0.891,0.74,0.765,0.646,0.956,0.782,0.94,0.674,0.588,0.661,0.671,0.663,0.81,0.773,0.696
Alaska,0.776,0.629,1.0,0.754,0.664,0.678,0.794,0.69,0.714,0.364,0.661,0.731,0.695,0.72,0.748,0.687,0.676,0.726,0.636,0.694,0.644,0.704,0.625,0.655,0.739,0.624,0.694,0.733,0.748,0.76,0.662,0.693,0.679,0.595,0.697,0.731,0.668,0.745,0.776,0.701,0.697,0.662,0.709,0.681,0.763,0.746,0.634,0.778,0.814,0.602,0.693,0.755
Arizona,0.924,0.772,0.754,1.0,0.758,0.699,0.793,0.767,0.823,0.309,0.89,0.844,0.681,0.795,0.842,0.803,0.768,0.839,0.752,0.747,0.721,0.723,0.68,0.813,0.756,0.678,0.842,0.796,0.828,0.893,0.7,0.723,0.864,0.679,0.863,0.72,0.818,0.83,0.865,0.825,0.795,0.827,0.794,0.828,0.851,0.695,0.718,0.769,0.806,0.659,0.791,0.782
Arkansas,0.758,0.935,0.664,0.758,1.0,0.491,0.646,0.636,0.739,0.277,0.704,0.785,0.545,0.821,0.69,0.894,0.807,0.836,0.946,0.868,0.699,0.58,0.564,0.814,0.698,0.894,0.888,0.772,0.798,0.684,0.65,0.556,0.79,0.508,0.881,0.669,0.862,0.947,0.762,0.747,0.646,0.91,0.814,0.929,0.678,0.598,0.67,0.668,0.693,0.881,0.763,0.748
California,0.748,0.505,0.678,0.699,0.491,1.0,0.726,0.686,0.608,0.378,0.66,0.675,0.741,0.505,0.756,0.532,0.535,0.589,0.491,0.563,0.468,0.693,0.707,0.552,0.658,0.504,0.546,0.458,0.605,0.745,0.562,0.788,0.627,0.756,0.608,0.609,0.549,0.555,0.667,0.611,0.698,0.535,0.517,0.55,0.779,0.638,0.524,0.699,0.748,0.395,0.58,0.482
Colorado,0.837,0.623,0.794,0.793,0.646,0.726,1.0,0.808,0.746,0.351,0.705,0.748,0.652,0.701,0.825,0.7,0.701,0.798,0.644,0.634,0.632,0.827,0.78,0.687,0.833,0.586,0.728,0.682,0.801,0.759,0.772,0.796,0.681,0.69,0.747,0.739,0.699,0.717,0.879,0.748,0.766,0.664,0.689,0.692,0.732,0.771,0.687,0.885,0.952,0.571,0.72,0.719
Connecticut,0.838,0.651,0.69,0.767,0.636,0.686,0.808,1.0,0.82,0.349,0.742,0.682,0.651,0.615,0.845,0.673,0.692,0.739,0.638,0.632,0.638,0.857,0.921,0.752,0.824,0.588,0.719,0.653,0.731,0.698,0.85,0.885,0.663,0.757,0.742,0.673,0.732,0.648,0.805,0.823,0.889,0.695,0.636,0.69,0.64,0.711,0.746,0.851,0.836,0.567,0.746,0.627
Delaware,0.868,0.796,0.714,0.823,0.739,0.608,0.746,0.82,1.0,0.285,0.805,0.799,0.627,0.684,0.815,0.755,0.75,0.776,0.735,0.698,0.743,0.758,0.699,0.821,0.779,0.69,0.812,0.746,0.767,0.732,0.782,0.692,0.716,0.698,0.85,0.711,0.794,0.729,0.83,0.871,0.838,0.836,0.719,0.814,0.677,0.654,0.808,0.831,0.765,0.682,0.778,0.731
District of Columbia,0.327,0.271,0.364,0.309,0.277,0.378,0.351,0.349,0.285,1.0,0.29,0.369,0.343,0.252,0.356,0.272,0.254,0.279,0.25,0.358,0.209,0.413,0.393,0.287,0.295,0.312,0.252,0.237,0.286,0.34,0.248,0.369,0.309,0.416,0.299,0.3,0.265,0.313,0.291,0.278,0.34,0.273,0.266,0.273,0.376,0.317,0.232,0.336,0.327,0.224,0.26,0.262
Florida,0.862,0.726,0.661,0.89,0.704,0.66,0.705,0.742,0.805,0.29,1.0,0.79,0.691,0.691,0.779,0.725,0.676,0.734,0.683,0.696,0.722,0.718,0.662,0.751,0.661,0.62,0.771,0.731,0.712,0.825,0.658,0.717,0.767,0.688,0.823,0.673,0.752,0.747,0.771,0.789,0.735,0.806,0.686,0.776,0.79,0.621,0.714,0.735,0.718,0.656,0.713,0.671
Georgia,0.887,0.827,0.731,0.844,0.785,0.675,0.748,0.682,0.799,0.369,0.79,1.0,0.595,0.758,0.835,0.817,0.73,0.828,0.775,0.848,0.667,0.734,0.625,0.791,0.726,0.789,0.833,0.671,0.803,0.802,0.61,0.679,0.754,0.631,0.931,0.671,0.81,0.828,0.811,0.779,0.713,0.88,0.746,0.886,0.876,0.702,0.67,0.778,0.763,0.622,0.753,0.679
Hawaii,0.69,0.55,0.695,0.681,0.545,0.741,0.652,0.651,0.627,0.343,0.691,0.595,1.0,0.531,0.663,0.548,0.584,0.589,0.528,0.535,0.56,0.673,0.639,0.56,0.64,0.495,0.581,0.585,0.626,0.707,0.613,0.696,0.636,0.644,0.604,0.65,0.57,0.577,0.679,0.628,0.656,0.582,0.569,0.574,0.632,0.564,0.557,0.652,0.712,0.497,0.626,0.575
